os,core,cpu
Linux,12,Intel(R) Xeon(R) CPU @ 2.30GHz
test name,serial iterations,serial time,serial stdev,serial min,serial max,parallel iterations,parallel time,parallel stdev,parallel min,parallel max,speedup
1f,3,136136484,17238383,117489890,159060192,3,18636139,973902,17863489,20009878,7.304
1e,3,28447535,1215113,26797939,29689317,3,4501304,180579,4366968,4756564,6.319
1d,3,6152559,480723,5531061,6701944,3,1066932,96990,949506,1187037,5.766
1c,3,1960081,192101,1688418,2097797,3,403128,107712,325418,555445,4.862
1b,3,163399,29198,123372,192196,3,80961,71730,24859,182205,2.018
1a,3,7335,4700,3401,13942,3,7478,5739,2806,15562,0.980
2f,3,446369258,22437889,428999868,478052138,3,63369181,343216,63010240,63831612,7.043
2e,3,68832990,2494704,66513348,72294934,3,10277270,407925,9907820,10845706,6.697
2d,3,9128944,1101490,8164113,10670484,3,1426510,86425,1322837,1534408,6.399
2c,3,759722,73929,685183,860483,3,200301,105877,121938,349979,3.792
2b,3,39455,14114,23015,57478,3,38849,23710,15327,71306,1.015
2a,3,7865,7007,2301,17749,3,11437,9117,4662,24325,0.687
